task_id,username,label,precis,recall,f_score,pnl,pnl_average,model_score
445,user-2601048,label_40,0.417638,0.0467114,0.161363,41.231,0.0026122,-0.004422764441352369
445,user-2601048,label_60,0.34315,0.102021,0.233005,55.3976,0.0011259,-0.033490268695072
321,user-2601031,label_5,0.629813,0.0377195,0.152148,7.48693,0.00137274,-5.533614477443262e-06
321,user-2601031,label_10,0.66653,0.0384543,0.156219,12.1981,0.00166572,-0.00023951377353758371
321,user-2601031,label_20,0.570288,0.0532423,0.193827,22.0086,0.00237443,-0.0005742788972820481
321,user-2601031,label_40,0.558481,0.0441887,0.167827,40.6524,0.00364073,-0.0006598397448578425
321,user-2601031,label_60,0.491363,0.0429678,0.159164,84.1257,0.005813,0.0012775088522683994
257,user-2601044,label_20,0.371472,0.0612498,0.184538,129.25,0.00789553,0.04570699773458199
257,user-2601044,label_40,0.383406,0.052196,0.168967,144.334,0.00751272,0.01779182870612147
257,user-2601044,label_60,0.364903,0.0460494,0.153009,150.881,0.00722436,0.008145355633011686
471,user-2601005,label_10,0.637756,0.0380603,0.153628,17.9234,0.00236612,0.0001465336826423683
471,user-2601005,label_20,0.58594,0.0837815,0.266489,40.2937,0.00283838,-1.721342231144089e-05
471,user-2601005,label_40,0.551848,0.0675019,0.226625,73.67,0.00426776,0.0
471,user-2601005,label_60,0.495152,0.0586238,0.198915,98.2674,0.00501518,1.9134999202560153e-05
297,user-2601046,label_20,0.659874,0.0538164,0.202893,15.9213,0.00196632,-0.001840488875438756
323,user-2601006,label_5,0.445794,0.296617,0.405051,32.0234,0.0005285,-0.0033141523131644877
323,user-2601006,label_10,0.486986,0.262223,0.415718,48.2099,0.00070537,-0.007597914293068358
323,user-2601006,label_20,0.393823,0.22423,0.342077,101.459,0.00179485,-0.0043209497646317
323,user-2601006,label_40,0.412252,0.137576,0.29461,85.3387,0.00181205,-0.017766490236839006
323,user-2601006,label_60,0.408195,0.149647,0.303367,107.426,0.0017706,-0.0300347353139575
299,user-2601036,label_5,0.602217,0.179593,0.40949,34.6812,0.00127702,-9.968862373876806e-05
299,user-2601036,label_10,0.589103,0.191239,0.416006,57.4414,0.00139404,-0.0018299575512538552
299,user-2601036,label_20,0.528548,0.139955,0.339833,58.8394,0.00223818,-0.0015740232815334154
299,user-2601036,label_40,0.520514,0.111832,0.300721,101.496,0.00334749,-0.0025467967451536086
299,user-2601036,label_60,0.507876,0.0652644,0.215533,81.9611,0.00385391,-0.0024363267865776124
464,user-2601034,label_5,0.684816,0.0712662,0.251598,12.6356,0.00133329,-2.5037922925348858e-05
464,user-2601034,label_10,0.703403,0.0485228,0.190146,14.9339,0.00170556,-0.00023522383311926374
464,user-2601034,label_20,0.571932,0.0702746,0.235584,37.1604,0.00304618,3.8255083799615995e-05
464,user-2601034,label_40,0.582882,0.0282309,0.118246,34.0631,0.00498363,0.0006059751069899747
464,user-2601034,label_60,0.540631,0.0283814,0.117279,41.1626,0.00473787,-3.767399395919094e-05
465,user-2601008,label_5,0.237569,0.0254977,0.0891948,99.2021,0.0101496,0.06776868156589935
465,user-2601008,label_10,0.314278,0.0282833,0.103983,101.234,0.00886228,0.04815247363575001
465,user-2601008,label_20,0.311519,0.0375899,0.126763,113.252,0.00945338,0.05412956203837157
465,user-2601008,label_40,0.365655,0.0378113,0.133737,128.41,0.00879942,0.027464153228108776
465,user-2601008,label_60,0.358761,0.0330219,0.120678,135.777,0.00891334,0.019272197118572934
450,user-2601038,label_5,0.373948,0.456993,0.38805,31.7919,0.000285665,-0.0051086262563689025
450,user-2601038,label_10,0.419443,0.386071,0.412314,28.1393,0.000240855,-0.013603887211486164
450,user-2601038,label_20,0.348134,0.328831,0.344094,94.3263,0.00100586,-0.012590909242486974
450,user-2601038,label_40,0.400505,0.198842,0.332966,127.169,0.00181505,-0.020030523158496003
450,user-2601038,label_60,0.431691,0.165919,0.326948,106.031,0.00166695,-0.0345370703165633
