thr,n_trades,total_pnl,pnl_avg,sharpe
0.34,144274,131.49414861228107,0.0009114195808827721,131.79851161895712
0.36000000000000004,142271,131.29669279050904,0.0009228633578909901,132.62514451235634
0.38000000000000006,138112,130.74857923099947,0.0009466851485099012,134.3544650651628
0.4000000000000001,132028,129.0300144831692,0.0009772928051865453,135.98857317179713
0.4200000000000001,123860,126.6053519248696,0.0010221649598326304,138.03431367890985
0.4400000000000001,113594,121.96852799525101,0.0010737233304157878,139.34044962696538
0.46000000000000013,101549,114.42481098609512,0.0011267940697209733,138.08800829102378
0.48000000000000015,88347,105.05806460496206,0.0011891525983334132,134.930275414582
0.5000000000000002,75113,94.09597006877249,0.0012527254945052452,129.51370536344137
0.5200000000000002,63327,83.39294422206385,0.0013168623844815614,124.18371284448537
0.5400000000000003,52977,73.73677258111425,0.001391863876420225,118.70992379537908
0.5600000000000003,43881,64.31670840066727,0.0014657074451509143,112.8417577752116
0.5800000000000003,36019,55.603314175971434,0.001543721762846593,106.29021660533886
0.6000000000000003,29369,47.43247661656052,0.0016150524912853866,99.44360419753316
0.6200000000000003,23725,40.16849271518251,0.0016930871534323502,92.494515717994
0.6400000000000003,18818,33.519485820302414,0.0017812459251940916,86.23398738622032
0.6600000000000004,14816,27.79657103182494,0.0018761184551717696,79.72479384183964
0.6800000000000004,11398,22.478166655005648,0.001972114989911006,72.86862477151412
0.7000000000000004,8582,17.943414784524418,0.002090819713880729,65.83425179261909
0.7200000000000004,6344,14.085345145700774,0.002220262475677928,60.15233347628387
0.7400000000000004,4604,10.778217616331142,0.002341055086084088,54.733752151222625
0.7600000000000005,3237,8.000616681679986,0.0024716146684213734,47.21135644774973
0.7800000000000005,2161,5.617382007266878,0.0025994363754127153,39.87550369643737
0.8000000000000005,1424,3.987441815582808,0.0028001698143137695,36.14053061013551
0.8200000000000005,918,2.765556299726366,0.003012588561793427,31.830708805912135
0.8400000000000005,582,1.856855871480219,0.003190474005979758,25.63542211091289
0.8600000000000005,362,1.1409415994958771,0.0031517723742980033,21.02646193533638
0.8800000000000006,192,0.5758017032275276,0.0029989672043100393,22.03345876663862
0.9000000000000006,83,0.2393450929794497,0.0028836758190295144,17.341201777944377
0.9200000000000006,34,0.0992774154899923,0.0029199239849997736,13.360018929404127
